,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2018-04-27,24311.189453125,2669.909912109375,7119.7998046875,24311.189453125,2669.909912109375,7119.7998046875,24359.380859375,2677.35009765625,7197.14990234375,24194.44921875,2659.010009765625,7083.9501953125,24342.140625,2675.469970703125,7195.52001953125,392810000,3234510000,2050350000
2018-04-30,24163.150390625,2648.050048828125,7066.27001953125,24163.150390625,2648.050048828125,7066.27001953125,24498.23046875,2682.8701171875,7169.7998046875,24163.080078125,2648.0400390625,7065.41015625,24410.41015625,2682.510009765625,7133.9501953125,416650000,3749510000,1998570000
2018-05-01,24099.05078125,2654.800048828125,7130.7001953125,24099.05078125,2654.800048828125,7130.7001953125,24117.2890625,2655.27001953125,7133.27001953125,23808.189453125,2625.409912109375,7036.18017578125,24117.2890625,2642.9599609375,7053.64990234375,380070000,3562820000,1932660000
2018-05-02,23924.98046875,2635.669921875,7100.89990234375,23924.98046875,2635.669921875,7100.89990234375,24185.51953125,2660.8701171875,7169.4599609375,23886.30078125,2631.699951171875,7094.72021484375,24097.630859375,2654.239990234375,7138.4501953125,385350000,4047020000,2157860000
2018-05-03,23930.150390625,2629.72998046875,7088.14990234375,23930.150390625,2629.72998046875,7088.14990234375,23996.150390625,2637.139892578125,7112.58984375,23531.310546875,2594.6201171875,6991.14013671875,23836.23046875,2628.080078125,7065.02978515625,389240000,3867530000,2355780000
2018-05-04,24262.509765625,2663.419921875,7209.6201171875,24262.509765625,2663.419921875,7209.6201171875,24333.349609375,2670.929931640625,7228.259765625,23778.869140625,2615.320068359375,7057.89013671875,23865.220703125,2621.449951171875,7065.669921875,329480000,3335260000,2040520000
2018-05-07,24357.3203125,2672.6298828125,7265.2099609375,24357.3203125,2672.6298828125,7265.2099609375,24479.44921875,2683.35009765625,7291.740234375,24263.419921875,2664.699951171875,7235.759765625,24317.66015625,2680.340087890625,7241.81982421875,307670000,3266810000,1950650000
2018-05-08,24360.2109375,2671.919921875,7266.89990234375,24360.2109375,2671.919921875,7266.89990234375,24412.33984375,2676.340087890625,7278.81005859375,24198.33984375,2655.199951171875,7224.7001953125,24341.349609375,2670.260009765625,7255.33984375,344940000,3745100000,2070970000
2018-05-09,24542.5390625,2697.7900390625,7339.91015625,24542.5390625,2697.7900390625,7339.91015625,24586.48046875,2701.27001953125,7344.7998046875,24323.869140625,2674.139892578125,7259.0498046875,24399.1796875,2678.1201171875,7281.52978515625,361580000,3913650000,2250260000
2018-05-10,24739.529296875,2723.070068359375,7404.97021484375,24739.529296875,2723.070068359375,7404.97021484375,24794.990234375,2726.110107421875,7414.14990234375,24575.91015625,2704.5400390625,7353.6298828125,24591.66015625,2705.02001953125,7355.89990234375,304210000,3380640000,2250450000
2018-05-11,24831.169921875,2727.719970703125,7402.8798828125,24831.169921875,2727.719970703125,7402.8798828125,24868.650390625,2732.860107421875,7417.669921875,24717.5,2717.449951171875,7372.259765625,24758.640625,2722.699951171875,7393.97021484375,274150000,2874850000,2085350000
2018-05-14,24899.41015625,2730.1298828125,7411.31982421875,24899.41015625,2730.1298828125,7411.31982421875,24994.189453125,2742.10009765625,7458.419921875,24862.51953125,2725.469970703125,7401.89013671875,24879.369140625,2738.469970703125,7429.4501953125,282860000,2994360000,2085850000
2018-05-15,24706.41015625,2711.449951171875,7351.6298828125,24706.41015625,2711.449951171875,7351.6298828125,24809.55078125,2718.590087890625,7363.52001953125,24629.390625,2701.909912109375,7320.97021484375,24809.55078125,2718.590087890625,7361.2998046875,301900000,3291190000,2120380000
2018-05-16,24768.9296875,2722.4599609375,7398.2998046875,24768.9296875,2722.4599609375,7398.2998046875,24801.189453125,2727.760009765625,7413.31982421875,24672.7890625,2712.169921875,7356.16015625,24722.3203125,2712.6201171875,7356.22021484375,280810000,3248480000,2103060000
2018-05-17,24713.98046875,2720.1298828125,7382.47021484375,24713.98046875,2720.1298828125,7382.47021484375,24839.490234375,2731.9599609375,7425.39013671875,24639.400390625,2711.360107421875,7350.4599609375,24752.400390625,2719.7099609375,7379.580078125,314650000,3478150000,1958970000
2018-05-18,24715.08984375,2712.969970703125,7354.33984375,24715.08984375,2712.969970703125,7354.33984375,24774.970703125,2719.5,7381.16015625,24664.869140625,2709.179931640625,7343.97021484375,24707.720703125,2717.35009765625,7364.33984375,269700000,3383270000,1982190000
2018-05-21,25013.2890625,2733.010009765625,7394.0400390625,25013.2890625,2733.010009765625,7394.0400390625,25086.490234375,2739.18994140625,7431.830078125,24883.060546875,2725.699951171875,7368.2099609375,24883.060546875,2735.389892578125,7406.33984375,308920000,3053480000,1997220000
